"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
044_AugHip_DePeMeE	44428	10	225.08
045_AuInAuH_Hypomn	34046	1	29.37
045_AucVar_ScEtMoH	65171	3	46.03
045_AugHip_DeDoPe	21179	1	47.22
045_AugHip_OpImCoS	276447	17	61.49
045_ProAqu_DeGrEtL2	5007	3	599.16
045_ProAqu_SeDeExA	17985	2	111.2
046_AugHip_SerIne	64400	14	217.39
046_AugHip_Sermon3	26585	3	112.85
047_AugHip_DeOra2	7135	6	840.93
047_AugHip_Sermon4	4088	4	978.47
048_AucVar_DiDeHiP	242214	8	33.03
048_CyAlMaM_ScDeInU	19167	1	52.17
048_MaMeThM_ExExLiT	7586	1	131.82
048_MaMeThM_Symbol	2304	1	434.03
048_NeCyAlM_NeBlCaX	9504	1	105.22
048_NeMaMe_CoHaPeS	7243	15	2070.97
048_NeMaMe_ExExVaT	15540	1	64.35
048_NeMaMe_Sermon6	28434	1	35.17
049_JoaCas_Collat	173027	60	346.77
049_JoaCas_DeCoIn	53680	36	670.64
050_AuInHiA_MeInGe	1654	1	604.59
050_AuInHiS_ReSPa2	7168	9	1255.58
050_AucInc_CoInGe	106652	25	234.41
050_AucInc_CoInLiR	106491	20	187.81
050_CoeI_EpEtDe10	37028	5	135.03
050_EucLug_DeLaEr	4815	4	830.74
050_EucLug_EpOpCa	12437	12	964.86
050_EucLug_EpiPar	7375	2	271.19
050_EucLug_FoSpIn	25968	3	115.53
050_EucLug_Homili	15763	7	444.08
050_EucLug_Instru	23991	6	250.09
050_FasBri_DeViCh2	9106	3	329.45
050_HilAre_SeDeViH	8306	2	240.79
050_HonMas_VitHil	8092	6	741.47
050_JoaCas_DeInCh	47739	10	209.47
050_JoaCas_Flores	4302	2	464.9
050_VigDia_ReMoSiR	2864	4	1396.65
050_VinLir_Common	15188	1	65.84
051_AuInPrA_CaDePrD	7971	1	125.45
051_AuInPrA_DeVoOmG	29342	2	68.16
051_AuInPrA_PoCoAdU	934	1	1070.66
051_AucInc_DePrEtP	64021	8	124.96
051_ProAqu_CaDeIn2	9276	3	323.42
